entity_id,name,canonical,entity_type,context,source,source_url
PV_0022_V154,yellow dragon disease,yellow dragon disease,Disease,"Bacterial disease of citrus caused by Candidatus Liberibacter asiaticus, transmitted by Asian citrus psyllid. Causes yellowing, misshapen bitter fruit. No cure exists.",plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0022_V155,citrus HLB,citrus hlb,Disease,"Bacterial disease of citrus caused by Candidatus Liberibacter asiaticus, transmitted by Asian citrus psyllid. Causes yellowing, misshapen bitter fruit. No cure exists.",plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0019_V135,grapevine esca,grapevine esca,Disease,Complex fungal disease of grapevine caused by multiple fungi including Phaeomoniella chlamydospora. Causes tiger-stripe leaf pattern and internal wood discolouration.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0019_V134,esca disease,esca disease,Disease,Complex fungal disease of grapevine caused by multiple fungi including Phaeomoniella chlamydospora. Causes tiger-stripe leaf pattern and internal wood discolouration.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0019_V133,grape black measles,grape black measles,Disease,Complex fungal disease of grapevine caused by multiple fungi including Phaeomoniella chlamydospora. Causes tiger-stripe leaf pattern and internal wood discolouration.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0019_V130,Grape Esca,grape esca,Disease,Complex fungal disease of grapevine caused by multiple fungi including Phaeomoniella chlamydospora. Causes tiger-stripe leaf pattern and internal wood discolouration.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0019_V131,Black Measles,black measles,Disease,Complex fungal disease of grapevine caused by multiple fungi including Phaeomoniella chlamydospora. Causes tiger-stripe leaf pattern and internal wood discolouration.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0019_V132,ESCA,esca,Disease,Complex fungal disease of grapevine caused by multiple fungi including Phaeomoniella chlamydospora. Causes tiger-stripe leaf pattern and internal wood discolouration.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0019,Grape Esca (Black Measles),grape esca (black measles),Disease,Complex fungal disease of grapevine caused by multiple fungi including Phaeomoniella chlamydospora. Causes tiger-stripe leaf pattern and internal wood discolouration.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0001_V003,apple-scab,apple-scab,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0001_V004,scab of apple,scab of apple,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0001_V005,Venturia scab,venturia scab,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0001_V006,apple scab disease,apple scab disease,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0039_V263,BLACK SIGATOKA,black sigatoka,Disease,Fungal disease of banana caused by Mycosphaerella fijiensis. Creates dark streaks on leaves progressing to large black necrotic lesions. Reduces yield by up to 50%.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0039_V266,Sigatoka disease,sigatoka disease,Disease,Fungal disease of banana caused by Mycosphaerella fijiensis. Creates dark streaks on leaves progressing to large black necrotic lesions. Reduces yield by up to 50%.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0039_V264,black leaf streak disease,black leaf streak disease,Disease,Fungal disease of banana caused by Mycosphaerella fijiensis. Creates dark streaks on leaves progressing to large black necrotic lesions. Reduces yield by up to 50%.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0039_V265,BLSD,blsd,Disease,Fungal disease of banana caused by Mycosphaerella fijiensis. Creates dark streaks on leaves progressing to large black necrotic lesions. Reduces yield by up to 50%.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0039,Banana Black Sigatoka,banana black sigatoka,Disease,Fungal disease of banana caused by Mycosphaerella fijiensis. Creates dark streaks on leaves progressing to large black necrotic lesions. Reduces yield by up to 50%.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0039_V267,Mycosphaerella leaf spot,mycosphaerella leaf spot,Disease,Fungal disease of banana caused by Mycosphaerella fijiensis. Creates dark streaks on leaves progressing to large black necrotic lesions. Reduces yield by up to 50%.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
